oldvar,RPP.LANDCLIMII
0,zz.do not use
     Abies,Abies alba
     Alnus,Alnus glutinosa
     Buxus,Buxus sempervirens
     Pinus,Pinus
     Vitis,zz.do not use
    Betula,Betula
    Cedrus,zz.do not use
    Hedera,zz.do not use
   Corylus,Corylus avellana
  Apiaceae,zz.do not use
  Hypecoum,zz.do not use
  Pistacia,Pistacia
  Plantago,Plantago lanceolata type
 Abies,Abies alba
 Alnus,Alnus glutinosa
 Anemona,zz.do not use
 Artemisia,Artemisia
 Artemisia,Artemisia
 Betula,Betula
 Calluna,Calluna vulgaris
 Cardueae,zz.do not use
 Carpinus,Carpinus betulus
 Centaurea,zz.do not use
 Cistaceae,zz.do not use
 Crataegus,zz.do not use
 Equisetum,zz.do not use
 Erica,Ericaceae
 Euphorbia,zz.do not use
 Fagopyrum,zz.do not use
 Galium t.,zz.do not use
 Juniperus,Juniperus
 Lotus,zz.do not use
 Mentha t.,zz.do not use
 Picea,Picea
 Pinus,Pinus
 Poaceae,Poaceae
 Populus,zz.do not use
 Quercus,Quercus deciduous
 Rumex sp.,Rumex acetosa-t
 Salix,Salix
 Sorbus t.,zz.do not use
 Tilia,Tilia
 Ulmus,Ulmus
"""Round bell""",zz.do not use
"""Topped bell""",zz.do not use
\Centaurea cyanus,zz.do not use
"\i""Hystrix""\i",zz.do not use
\iAbies\i (ädelgran),Abies alba
\iAcer,zz.do not use
\iAcer\i,zz.do not use
\iAcer\i - maple,zz.do not use
\iAcer\i (lönn),zz.do not use
\iAchillea t.,zz.do not use
\iAesculus\i-typ (hästkastanj),zz.do not use
\iAgrostemma githago\i,zz.do not use
\iAlisma plantago-aquatica\i-typ (svalting),zz.do not use
\iAlnus,Alnus glutinosa
\iAlnus\i,Alnus glutinosa
\iAlnus\i - alder,Alnus glutinosa
\iAlnus\i (al),Alnus glutinosa
\iAmphiterma flavum,zz.do not use
\iAnchusa arvensis\i,zz.do not use
\iAnchusa arvensis\i (fårtunga),zz.do not use
\iAnemone,zz.do not use
\iAnemone nemorosa\i,zz.do not use
\iAnemone nemorosa\i (vitsippa),zz.do not use
\iAnemone nemorosa\i type - wood anemone,zz.do not use
\iAnemone\i t.,zz.do not use
"\iAnthemis\i type - sneezewort, oxeye daisy, etc.",zz.do not use
"\iAnthemis\i-typ (kulla, röllika, baldersbrå m. fl.)",zz.do not use
\iAnthemis\i-type,zz.do not use
\iAnthoceros punctatus\i (svart nålfruktsmossa),zz.do not use
\iArcella artocrea,zz.do not use
\iArtemisia,Artemisia
\iArtemisia\i,Artemisia
"\iArtemisia\i - mugwort, woodworm",Artemisia
"\iArtemisia\i (gråbo, malört)",Artemisia
\iAssulina seminulum,zz.do not use
"\iAster\i type - groundsel, colt's-foot, etc.",zz.do not use
"\iAster\i-typ (ullört, noppa, korsört, hästhov m. fl.)",zz.do not use
\iAster\i-type,zz.do not use
\iAthyrium filix-femina\i,zz.do not use
\iAthyrium filix-femina\i (majbräken),zz.do not use
\iAvena \it.,Cerealia-t
\iAvena t.,Cerealia-t
\iAvena\i,Cerealia-t
\iAvena\i - oats,Cerealia-t
\iAvena\i (havre),Cerealia-t
\iAvena\i t.,Cerealia-t
\iBetula,Betula
\iBetula nana t.,zz.do not use
\iBetula\i,Betula
\iBetula\i - birch,Betula
\iBetula\i (björk),Betula
\iBotrychium,zz.do not use
\iBotrychium\i (låsbräken),zz.do not use
\iBotrycoccus,zz.do not use
\iCalluna,Calluna vulgaris
\iCalluna vulgaris,Calluna vulgaris
\iCalluna\i,Calluna vulgaris
\iCalluna\i - heather,Calluna vulgaris
\iCalluna\i (ljung),Calluna vulgaris
\iCaltha \it.,zz.do not use
\iCaltha t.,zz.do not use
\iCaltha\i-typ (kabbleka),zz.do not use
\iCaltha\i-type,zz.do not use
\iCampanula,zz.do not use
\iCampanula\i,zz.do not use
\iCampanula\i - bellflowers,zz.do not use
\iCampanula\i (klocka),zz.do not use
\iCannabis \it.,zz.do not use
\iCannabis type,zz.do not use
\iCannabis\i t.,zz.do not use
"\iCannabis\i-typ (hampa, humle)",zz.do not use
\iCannabis\i-type,zz.do not use
\iCarpinus,Carpinus betulus
\iCarpinus\i,Carpinus betulus
\iCarpinus\i - hornbeam,Carpinus betulus
\iCarpinus\i (avenbok),Carpinus betulus
\iCentaurea cyanus,zz.do not use
\iCentaurea cyanus\i,zz.do not use
\iCentaurea cyanus\i type - cornflower,zz.do not use
"\iCentaurea cyanus\i-typ (blåklint, bergklint)",zz.do not use
\iCentaurea jacea,zz.do not use
\iCentaurea nigra\i-typ (svartklint m. fl.),zz.do not use
\iCentaurea nigra\i-type,zz.do not use
\iCentaurea scabiosa\i,zz.do not use
\iCentaurea scabiosa\i (väddklint),zz.do not use
\iCentaurea scabiosa\i t.,zz.do not use
\iCircaea\i,zz.do not use
\iCircaea\i (häxört),zz.do not use
\iCirsium t.,zz.do not use
\iCirsium\i,zz.do not use
\iCirsium\i - thistles,zz.do not use
\iCirsium\i (tistel),zz.do not use
\iCladium mariscus,Cyperaceae
\iCorylus,Corylus avellana
\iCorylus\i,Corylus avellana
\iCorylus\i - hazel,Corylus avellana
\iCorylus\i (hassel),Corylus avellana
\iDianthus t.,zz.do not use
\iDrosera,zz.do not use
\iDrosera intermedia\i (småsileshår),zz.do not use
\iDrosera rotundifolia\i,zz.do not use
\iDrosera rotundifolia\i (rundsileshår),zz.do not use
\iDryopteris filix-mas\i-typ (träjon m. fl.),zz.do not use
\iDryopteris\i,zz.do not use
\iDryopteris\i (träjon m. fl.),zz.do not use
\iEchium vulgare,zz.do not use
\iEmpetrum,zz.do not use
\iEmpetrum nigrum\i - crowberry,zz.do not use
\iEmpetrum\i,zz.do not use
\iEmpetrum\i (kråkbär),zz.do not use
\iEphedra,zz.do not use
\iEphedra distachya\i-typ,zz.do not use
\iEphedra fragilis\i-typ,zz.do not use
\iEphedra fragilis\i-type,zz.do not use
\iEphedra\i (efedra),zz.do not use
\iEpilobium angustifolium\i,zz.do not use
\iEpilobium angustifolium\i (mjölkört),zz.do not use
\iEpilobium\i,zz.do not use
\iEpilobium\i (dunört),zz.do not use
\iEpilobium\i-type,zz.do not use
\iEquisetum,zz.do not use
\iEquisetum\i,zz.do not use
\iEquisetum\i - horsetail,zz.do not use
\iEquisetum\i (fräken),zz.do not use
\iErodium\i,zz.do not use
\iErodium\i (skatnäva),zz.do not use
\iEuphorbia\i,zz.do not use
\iEuphorbia\i (törel),zz.do not use
\iEvonymus europaeus\i,zz.do not use
\iEvonymus europaeus\i (benved),zz.do not use
\iFagopyrum esculentum\i,zz.do not use
\iFagopyrum esculentum\i (bovete),zz.do not use
\iFagus,Fagus sylvatica
\iFagus\i,Fagus sylvatica
\iFagus\i - beech,Fagus sylvatica
\iFagus\i (bok),Fagus sylvatica
"\iFallopia convolvulus\i-typ (åkerbinda, lövbinda)",zz.do not use
\iFallopia convolvulus\i-type,zz.do not use
\iFestuca t.\i,Poaceae
\iFestuca\i t.,Poaceae
\iFilipendula,Filipendula
\iFilipendula\i,Filipendula
"\iFilipendula\i - dropwort, meadowsweet",Filipendula
"\iFilipendula\i (älgört, brudbröd)",Filipendula
\iFrangula,zz.do not use
\iFrangula alnus\i,zz.do not use
\iFrangula alnus\i - alder buckthorn,zz.do not use
\iFrangula alnus\i (brakved),zz.do not use
\iFraxinus,Fraxinus
\iFraxinus\i,Fraxinus
\iFraxinus\i - ash,Fraxinus
\iFraxinus\i (ask),Fraxinus
\iGalium,zz.do not use
\iGalium \it.,zz.do not use
\iGalium\i t.,zz.do not use
\iGalium\i type - bedstraw,zz.do not use
\iGalium\i-typ (måror),zz.do not use
\iGalium\i-type,zz.do not use
\iGentiana\i (gentiana),zz.do not use
\iGeranium\i,zz.do not use
\iGeranium\i (näva),zz.do not use
\iGeum typ\i,zz.do not use
"\iGeum\i (humleblomster, nejlikrot)",zz.do not use
\iGeum\i-typ (humleblomster m. fl.),zz.do not use
\iGymnocarpium dryopteris\i,zz.do not use
\iGymnocarpium dryopteris\i (ekbräken),zz.do not use
\iHedera helix\i,zz.do not use
\iHedera helix\i (murgröna),zz.do not use
\iHelianthemum,zz.do not use
\iHelianthemum\i,zz.do not use
\iHelianthemum\i (solvända),zz.do not use
\iHippopha?,zz.do not use
\iHippophaë,zz.do not use
\iHippophaë rhamnoides\i,zz.do not use
\iHippophaë rhamnoides\i (havtorn),zz.do not use
\iHordeum t.,Cerealia-t
\iHordeum\i t.,Cerealia-t
\iHordeum\i type - barley,Cerealia-t
\iHordeum\i-group,Cerealia-t
\iHordeum\i-grupp (korn m. fl.),Cerealia-t
"\iHornungia\i type - field penny-cress, shepherd's-purse",zz.do not use
"\iHornungia\i-typ (lomme, penningört m. fl.)",zz.do not use
\iHornungia\i-type,zz.do not use
\iHumulus \it.,zz.do not use
\iHumulus t.,zz.do not use
\iHumulus t.\i,zz.do not use
\iHumulus\i t.,zz.do not use
\iHydrocotyle vulgaris\i,zz.do not use
\iHydrocotyle vulgaris\i (spikblad),zz.do not use
\iHypericum perforatum\i-typ (johannesört),zz.do not use
\iHypericum\i-typ (johannesört),zz.do not use
\iIlex\i,zz.do not use
\iIlex\i (järnek),zz.do not use
\iIsoetes\i (braxengräs),zz.do not use
\iJasione\i type - sheep's-bit,zz.do not use
\iJasione\i-typ (blåmunkar),zz.do not use
\iJasione\i-type,zz.do not use
\iJuglans,zz.do not use
"\iJuglans\i-typ (valnöt, vingnöt)",zz.do not use
\iJuniperus,Juniperus
\iJuniperus\i,Juniperus
\iJuniperus\i - juniper,Juniperus
\iJuniperus\i (en),Juniperus
\iKnautia\i,zz.do not use
\iKnautia\i (åkervädd),zz.do not use
\iL. clavatum,zz.do not use
\iL. complanatum,zz.do not use
\iLinum bienne\i-typ (lin),zz.do not use
\iLinum bienne\i-type,zz.do not use
"\iListera\i-typ (tvåblad, spindelblomster, knipprot m. fl.)",zz.do not use
\iLonicera periclymenum\i,zz.do not use
\iLonicera periclymenum\i (vildkaprifol),zz.do not use
\iLonicera xylosteum\i,zz.do not use
\iLonicera xylosteum\i (skogstry),zz.do not use
\iLychnis t.,zz.do not use
\iLycopodium annotinum,zz.do not use
\iLycopodium annotinum\i,zz.do not use
\iLycopodium annotinum\i (revlummer),zz.do not use
"\iLycopodium annotinum\i type - interrupted clubmoss, etc.",zz.do not use
\iLycopodium annotinum\i-type,zz.do not use
\iLycopodium clavatum,zz.do not use
\iLycopodium clavatum\i,zz.do not use
\iLycopodium clavatum\i (mattlummer),zz.do not use
\iLycopodium complanatum,zz.do not use
\iLycopodium complanatum\i,zz.do not use
\iLycopodium selago,zz.do not use
\iLycopodium selago\i,zz.do not use
\iLycopodium selago\i (lopplummer),zz.do not use
\iLycopodium sp.,zz.do not use
\iLycopus,zz.do not use
\iLysimachia t.,zz.do not use
"\iLysimachia vulgaris\i-typ (videört, topplösa m. fl.)",zz.do not use
\iLysimachia vulgaris\i-type,zz.do not use
\iLysimachia\i t.,zz.do not use
\iLythrum salicaria\i,zz.do not use
\iLythrum salicaria\i (fackelblomster),zz.do not use
"\iMalva\i-typ (malva, kattost)",zz.do not use
\iMalva\i-type,zz.do not use
\iMelampyrum,zz.do not use
\iMelampyrum\i,zz.do not use
\iMelampyrum\i - cow-wheat,zz.do not use
\iMelampyrum\i (kovall),zz.do not use
\iMentha t.,zz.do not use
"\iMentha\i-typ (mynta, strandklo, timjan m. fl.)",zz.do not use
\iMentha\i-type,zz.do not use
\iMenyanthes,zz.do not use
\iMenyanthes trifoliata\i - bogbean,zz.do not use
\iMenyanthes trifoliata\i (vattenklöver),zz.do not use
\iMenyanthes\i,zz.do not use
\iMercurialis annua,zz.do not use
\iMercurialis\i,zz.do not use
\iMercurialis\i (bingel),zz.do not use
\iMyrica,zz.do not use
\iMyrica\i,zz.do not use
\iMyrica\i - bog-myrtel,zz.do not use
\iMyrica\i (pors),zz.do not use
\iMyrica\i t.,zz.do not use
\iMyriophyllum alterniflorum\i (hårslinga),zz.do not use
\iMyriophyllum spicatum,zz.do not use
\iMyriophyllum spicatum\i,zz.do not use
\iMyriophyllum spicatum\i (axslinga),zz.do not use
\iMyriophyllum spictatum,zz.do not use
\iMyriophyllum verticillatum\i,zz.do not use
\iMyriophyllum verticillatum\i (kransslinga),zz.do not use
\iNebela colloris,zz.do not use
\iNuphar,zz.do not use
\iNuphar t.,zz.do not use
\iNuphar\i,zz.do not use
\iNuphar\i (gul näckros),zz.do not use
\iNymphaea,zz.do not use
"\iNymphaea alba\i-typ (vit näckros, nordnäckros)",zz.do not use
\iNymphaea alba\i-type,zz.do not use
\iOxyria,zz.do not use
\iP. angulosum,zz.do not use
\iP. duplex,zz.do not use
\iP. major/media,zz.do not use
\iPapaver\i (vallmo),zz.do not use
\iPediastrum,zz.do not use
\iPediastrum angulosum,zz.do not use
\iPediastrum boryanum,zz.do not use
\iPediastrum integrum,zz.do not use
\iPediastrum kawraiskyi,zz.do not use
\iPediastrum simplex,zz.do not use
\iPediastrum\i,zz.do not use
\iPediastrum\i (grönalg),zz.do not use
\iPhegopteris connectilis\i,zz.do not use
\iPhegopteris connectilis\i (hultbräken),zz.do not use
\iPhragmites\i type - common reed,Poaceae
\iPicea,Picea
\iPicea\i,Picea
\iPicea\i - spruce,Picea
\iPicea\i (gran),Picea
\iPinguicula\i (tätört),zz.do not use
\iPinus,Pinus
\iPinus\i,Pinus
\iPinus\i - pine,Pinus
\iPinus\i (tall),Pinus
\iPlantago coronopus\i,zz.do not use
\iPlantago coronopus\i (strandkämpar),zz.do not use
\iPlantago lanceolata,Plantago lanceolata type
\iPlantago lanceolata\i,Plantago lanceolata type
\iPlantago lanceolata\i - ribwort plantain,Plantago lanceolata type
\iPlantago lanceolata\i (svartkämpar),Plantago lanceolata type
\iPlantago major/media \it,zz.do not use
\iPlantago major/media\i t.,zz.do not use
\iPlantago major\i - greater plantain,zz.do not use
\iPlantago major\i/\iP. media\i,zz.do not use
"\iPlantago major\i/\iP. media\i (groblad, rödkämpar)",zz.do not use
\iPlantago maritima\i (gulkämpar),zz.do not use
\iPlantago media\i - hoary plantain,zz.do not use
\iPolygala\i (jungfrulin),zz.do not use
\iPolygonum amphibium\i (vattenpilört),zz.do not use
\iPolygonum amphibum\i-typ (pilört),zz.do not use
\iPolygonum aviculare,zz.do not use
\iPolygonum aviculare \it.,zz.do not use
\iPolygonum aviculare\i,zz.do not use
"\iPolygonum aviculare\i type - knotgrass, etc.",zz.do not use
\iPolygonum aviculare\i-typ (trampört),zz.do not use
\iPolygonum oxyspermum \it.,zz.do not use
\iPolygonum persicaria\i-typ (åkerpilört m. fl.),zz.do not use
\iPolygonum persicaria\i-type,zz.do not use
"\iPolygonum\i (ormrot, pilört, trampört m. fl.)",zz.do not use
\iPolypodium vulgare\i,zz.do not use
\iPolypodium vulgare\i type - common polypody,zz.do not use
\iPolypodium vulgare\i-typ (stensöta),zz.do not use
\iPolypodium vulgare\i-type,zz.do not use
\iPopulus,zz.do not use
\iPopulus\i,zz.do not use
\iPopulus\i - aspen,zz.do not use
\iPopulus\i (asp),zz.do not use
\iPotamogeton,zz.do not use
\iPotamogeton\i,zz.do not use
\iPotamogeton\i (nate),zz.do not use
"\iPotamogeton\i subg. \iColeogeton\i (borstnate, trådnate)",zz.do not use
\iPotamogeton\i subg. \iPotamogeton\i (gäddnate m. fl.),zz.do not use
\iPotamogeton\i subg.\iColeogeton\i,zz.do not use
\iPotamogeton\i-typ (nate),zz.do not use
\iPotentilla\i t.,zz.do not use
"\iPotentilla\i type - tormentil, cinquefoil",zz.do not use
"\iPotentilla\i-typ (blodrot, fingerört m. fl.)",zz.do not use
\iPotentilla\i-type,zz.do not use
\iPrimula veris\i-typ (gullviva m. fl.),zz.do not use
\iPrunus padus\i,zz.do not use
\iPrunus padus\i (hägg),zz.do not use
\iPrunus t.,zz.do not use
\iPteridium,zz.do not use
\iPteridium aquilinum\i,zz.do not use
\iPteridium aquilinum\i - bracken,zz.do not use
\iPteridium aquilinum\i (örnbräken),zz.do not use
\iPteridium\i,zz.do not use
\iPulmonaria obscura\i-typ (lungört),zz.do not use
\iPulmonaria obscura\i-type,zz.do not use
\iQuercus,Quercus deciduous
\iQuercus\i,Quercus deciduous
\iQuercus\i - oak,Quercus deciduous
\iQuercus\i (ek),Quercus deciduous
\iRanunculus acris t.,zz.do not use
