depth,age.cal.BP,Alnus,Betula,Carpinus,Corylus,Crateagus,Fagus,Fraxinus,Ilex aquilifolium,Pinus,Populus,Quercus,Salix,Tilia,Ulmus,Calluna vulgaris ,Empetrum,Ericaceae ,Alchemilla,Anagallis tenella,Anthoceros,Apiaceae,Apium,Artemisia,Asteraceae,Avena triticum,Brassicaceae,Caltha palustris,Calystegia type,Campanula,Cardueae,Caryophyllaceae,Centurea cyanus,Centurea nigra,Centurea scabiosa,Cheledonium,Chenopodiaceae,Cyperaceae,Drosera rotundifolia,Dryopteris,Filipendula,Galium,Hedera helix,Hypericum,Irideae,Lactuceae,Liliaceae,Lonicera,Lotus type,Lysimachia vulgaris,Melampyrum,Mercurialis,Mimosaceae,Myrica gale,Oxyria,Plantago Lanceolata,Plantago m/m,Poaceae,Polygala,Potentilla,Primula type,Ranunculus acris type,Rhinanthus,Rosaceae,Rumex acetocella,Rumex acetosa,Sanguisorba minor,Scrophularia,Secale,Serratula,Stachys,Succisa,Trifolium,Urtica dioica,Valeriana,Veronica,Vicia cracca,Alisma,Elodea,Equisetum,Myrioph.,Potomogeton,Typha,Cryptogramma,Osmunda,Polypodium,Pteridium,Pteropsida,Sphagnum
2,-20,5,8,0,4,0,1,3,0,8,0,9,0,0,0,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,197,0,7,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6
4,26,0,2,0,2,0,1,0,0,4,0,12,1,0,2,4,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,41,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,229,0,7,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,73,2,2,0,3,0,0,1,0,4,0,7,2,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,177,0,10,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
8,122,2,4,0,9,0,2,0,0,6,0,15,0,0,1,21,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,75,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,20,3,138,0,16,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,12
10,174,0,2,0,5,0,0,1,0,4,0,16,0,0,0,23,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7,146,0,9,0,2,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,27
18,394,6,2,0,7,0,0,0,0,1,0,15,0,0,0,27,0,1,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,1,67,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,126,2,16,0,0,0,3,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,119
26,616,3,4,0,5,0,2,0,0,1,0,13,0,0,0,8,0,1,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,50,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,164,1,25,0,1,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,96
34,820,9,6,0,32,0,2,0,0,1,0,36,1,0,0,4,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,2,0,2,0,0,0,12,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,155,1,16,0,7,0,2,0,2,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,433
42,1005,2,2,0,7,0,0,2,1,0,0,20,2,0,0,0,0,0,0,0,0,7,0,2,1,0,0,0,0,0,1,1,0,1,0,0,1,78,0,0,18,0,0,0,0,1,0,0,3,0,0,0,0,0,0,14,0,135,3,12,0,4,0,3,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,366
50,1174,5,1,1,7,0,1,3,0,0,0,21,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,187,0,0,12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,56,0,1,0,3,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4
