depth,age.cal.BP,Acer campestre-type,Alnus,Artemisia,Asteraceae,Asteraceae subf. Carduoideae,Asteraceae subf. Cichorioideae,Avena/Triticum-type,Betula,Brassicaceae,Calluna vulgaris,Carpinus betulus,Chenopodiaceae/Amaranthaceae,Corylus,Cyperaceae,Drosera rotundifolia-type,Elodea,Ericales (tetrad),Fagus,Filipendula,Fraxinus,Hedera,Hordeum-type,Hypericum,Ilex,Juglans,Lonicera,Malvaceae,Monolete fern spores,Phyteuma-type,Pinus,Plantago lanceolata-type,Poaceae,Polypodium,Potentilla-type,Pteridium aquilinum,Quercus,Ranunculus acris-type,Rhinanthus-type,Rosaceae,Rubiaceae,Rumex acetosa-type,Salix,Scrophularia-type,Secale cereale,Sorbus-type,Sphagnum,Succisa-type,Tilia,Trifolium-type,Typha/Sparganium,Ulmus/Zelkova,Urtica dioica
0.5,-46,0,6,0,1,0,0,0,6,0,81,0,1,18,9,0,0,5,5,0,2,0,0,1,0,0,0,0,0,0,16,6,124,0,0,0,17,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
8.5,167,0,2,2,4,0,2,2,4,0,106,0,0,30,6,0,0,4,1,0,3,0,2,0,0,0,0,0,1,0,2,30,79,0,0,6,26,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
16.5,357,0,12,0,14,0,2,0,5,0,31,0,0,35,20,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,19,128,0,3,1,16,3,0,0,0,0,2,0,4,0,19,0,0,0,0,0,1
24.5,525,0,16,1,10,0,0,3,13,0,45,0,1,48,12,0,0,2,1,0,1,0,3,0,0,0,0,0,3,0,1,10,96,1,1,9,38,1,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0
32.5,675,0,20,0,1,0,0,0,7,0,28,0,1,79,14,0,0,0,5,1,0,0,1,0,0,0,0,0,2,0,1,3,101,0,3,3,33,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
40.5,807,0,20,1,2,0,0,0,9,0,65,1,0,65,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,90,1,2,1,32,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,1
48.5,926,0,11,3,0,0,0,0,11,0,61,0,0,68,11,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,10,81,0,0,4,37,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
56.5,1032,0,17,1,0,0,1,0,8,0,52,1,0,76,10,0,1,1,1,1,5,1,0,0,0,0,0,0,0,0,1,6,77,0,1,2,41,0,0,0,0,3,0,0,1,0,8,0,0,0,0,1,0
64.5,1128,0,21,0,0,0,0,0,10,0,62,0,0,80,14,0,1,1,8,1,3,0,2,0,0,0,0,0,1,0,1,12,61,1,1,0,23,3,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0
72.5,1215,0,11,1,0,0,0,0,14,0,33,0,0,84,7,0,0,3,0,1,4,0,0,0,0,0,0,0,0,0,2,11,83,0,2,4,45,1,0,0,0,1,1,0,0,0,27,0,0,0,0,2,0
