sample,age.cal.BP,Alnus,Betula,Carpinus,Corylus,Cretaegus,Fagus,Fraxinus,Pinus,Prunus spinosa,Quercus,Salix,Sorbus,Tilia,Ulmus,Hedera helix,Ilex aquifolium,Ulex,Ericaceae undiff.,Calluna,Poaceae <37um,Avena/Triticum t.,Cyperaceae,Anagallis tenella,Anthemis,Artemisia,Apiaceae,Asteraceae,Brassicaceae,Campanula type,Cardueae,Caryophyllaceae,Centaurea nigra,Chenopodiaceae,Drosera intermedia,Drosera rotundifolia,Filipendula,Galium,Gentianella campestris,Lactuceae,Lamiaceae,Lotus,Plantago lanceolata,Polygala,Potentilla,Ranunculus acris type,Rhinanthus,Rosaceae undiff.,Rumex acetosa,Rumex obtusifolia,Scrophularia type,Sedum type,Succisa pratensis,Polypodium,Pteridium,Pteropsida (monolete) undiff.,Sphagnum
8,1110,5,1,0,31,1,1,0,3,0,10,0,0,0,0,0,0,0,17,122,75,0,10,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,10,0,20,3,0,0,0,0,0,0,0,1,2,2,2
12,1221,17,4,0,53,1,1,2,0,0,30,1,1,0,0,0,0,0,7,61,79,1,8,0,0,3,1,2,0,0,1,0,0,0,1,0,0,0,1,1,0,1,10,0,23,0,0,0,2,0,0,0,0,0,5,3,3
16,1332,21,14,0,66,1,0,1,1,0,20,0,1,0,0,0,0,0,2,36,115,0,12,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,5,0,11,1,0,0,0,0,0,0,0,0,12,3,6
20,1443,21,13,1,64,0,2,2,0,0,25,0,2,0,1,0,0,0,0,40,90,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,20,0,0,0,2,0,1,0,0,0,3,1,30
24,1554,12,5,0,30,0,0,0,0,1,21,0,0,1,1,0,0,0,3,50,135,1,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,14,0,6,0,0,3,5,1,0,0,0,1,9,0,60
28,1665,15,2,0,32,0,0,2,0,0,15,2,0,0,3,0,0,0,2,51,147,1,10,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,4,1,0,0,2,0,1,0,0,1,24,0,94
32,1776,22,9,0,80,0,1,0,0,0,16,0,0,0,0,2,0,0,1,92,55,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,11,0,1,0,0,0,3,0,1,0,2,0,12,2,1
36,1886,23,7,0,88,0,0,0,1,0,21,0,0,1,0,0,0,0,1,82,55,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,1,0,0,0,0,1,0,0,0,11,4,3
40,1997,19,7,0,103,0,0,6,2,0,22,1,0,0,2,0,0,0,3,71,54,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,11,1,2
44,2109,31,5,0,78,0,3,3,1,1,42,1,0,1,0,1,0,0,3,54,56,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,3,0,0,0,0,0,0,0,0,5,8,1,1
48,2221,27,14,0,102,0,0,3,1,0,50,2,0,1,1,0,0,0,1,60,48,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,2,0,0,2,11,3,2
52,2336,39,13,0,81,0,0,3,1,0,32,0,0,0,1,1,1,0,4,42,55,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,8,1,0,0,0,0,0,0,0,1,5,1,1
56,2455,21,13,2,111,0,1,1,0,0,38,3,0,0,0,0,0,2,5,28,57,0,3,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,7,0,1,0,0,0,0,0,2,0,0,0,4,0,1
60,2581,48,12,0,121,0,1,1,0,0,29,0,0,0,1,1,0,0,2,27,32,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,14,0,5
64,2713,36,5,0,74,0,1,2,0,0,44,2,0,0,0,0,0,0,1,16,31,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4,0,0
68,2856,50,9,0,78,0,2,2,1,0,32,1,0,0,0,0,0,0,0,47,50,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,1,0,1,4,1,4
