depth,age.cal.BP,Alnus glutinosa,Betula,Carpinus betulus,Corylus avellana type,Fraxinus excelsior,Picea,Pinus sylvestris,Quercus,Salix,Sorbus type,Tilia cordata,Ulmus,Cornus suecica,Juniperus communis,Hedera helix,Lonicera periclymenum,Vaccinium type,Calluna vulgaris,Poaceae,Achillea type,Apiaceae,Artemisia type,Brassicaceae,Caltha palustris type,Campanula type,Caryophyllaceae,Centaurea nigra,Chenopodiaceae,Circaea,Cirsium type,Cyperaceae,Epilobium type,Filipendula,Helianthemum,Hordeum type,Humulus lupulus,Hypericum perforatum type,Lactuceae,Lotus,Mentha type,Myosotis arvensis type,Persicaria bistorta type,Plantago coronopus,Plantago lanceolata,Plantago major/media,Polemonium caeruleum,Potentilla type,Ranunculus acris type,Rosaceae indet.,Rubiaceae,Rumex acetosa/acetosella,Sanguisorba officinalis,Saxifraga granulata type,Saxifraga oppositifolia type,Saxifraga stellaris type,Scrophularia type,Scutellaria type,Sedum,Solanum nigrum,Solidago virgaurea type,Stachys type,Succisa pratensis,Thalictrum,Trifolium type,Urtica dioica,Valeriana dioica,Sparganium erectum,Typha angustifolia,Botrychium lunaria,Hymenophyllum,Polypodium,Pteridium aquilinum,Pteropsida (monolete) undiff.,Selaginella selaginoides,Sphagnum,Thelyptris palustris
0,6896,183,1,0,39,1,1,8,28,4,0,0,3,0,0,1,1,0,2,113,0,1,0,6,0,0,2,1,0,0,5,71,0,0,0,2,0,0,11,0,0,0,0,0,3,1,0,0,2,0,0,2,0,0,0,0,0,0,4,0,8,1,1,0,0,0,0,0,0,0,0,61,16,227,0,0,0
8,6990,71,3,0,54,1,0,37,32,0,0,1,9,0,0,0,0,0,1,6,0,1,0,0,0,0,0,0,0,0,1,270,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,46,13,616,0,0,0
16,7084,72,11,0,70,0,0,39,30,1,0,1,4,0,0,2,0,0,0,15,0,0,0,0,0,0,2,0,0,0,0,235,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,167,13,516,0,1,0
24,7179,57,0,0,35,1,0,49,30,2,0,4,5,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,302,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,97,20,810,0,0,0
32,7273,197,0,0,78,2,0,5,43,7,0,3,6,0,0,0,0,0,0,8,0,5,0,1,0,0,0,0,1,0,0,133,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,21,9,497,0,1,0
40,7367,187,2,0,44,1,0,18,51,1,0,2,12,0,0,1,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,170,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,98,1,204,0,0,0
48,7462,234,3,0,69,0,0,12,74,3,0,1,11,0,0,0,1,0,0,12,0,1,0,0,1,0,2,0,1,0,0,77,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,27,1,142,0,0,0
56,7556,125,5,0,84,2,0,28,61,3,0,1,5,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,172,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,74,6,339,0,0,0
58,7580,184,4,1,77,4,0,20,54,2,0,1,18,1,0,0,0,0,0,4,0,1,0,2,2,0,0,0,0,0,0,117,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,53,5,341,0,1,0
60,7603,184,4,0,79,0,0,7,40,3,0,4,12,0,0,0,0,0,0,2,0,2,0,0,0,2,1,0,1,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,6,494,0,0,0
