depth,age.cal.BP,Alnus,Betula,Carpinus,Fagus,Fraxinus,Juglans,Pinus,Quercus,Sorbus t.,Tilia,Ulmus,Corylus avellana t.,Salix,Hedera helix,Ilex aquifolium,Juniperus,Lonicera periclymenum,Ericaceae,Calluna ,Cornus sanguinea,Poaceae <37um,Hordeum t.,Avena/Triticum t.,Secale cereale,Cyperaceae,Apiaceae,Anthemis,Artemisia,Asteraceae,Brassicaceae,Centaurea nigra,Caltha palustris,Campanula t.,Cardueae,Caryophyllaceae,Chenopodiaceae,Circeae,Corydalis lutea,Drosera,Filipendula,Fumaria,Galium,Gentiana campestre,Hypericum elodes,Lactuceae,Lamiaceae ,Lotus,Lysimachia vulgaris,Melampyrum,Menyanthes trifoliata,Montia fontana,Myosotis,Plantago coronopus,Plantago lanceolata,Plantago major/media,Polygala,Potentilla t.,Prunella vulgaris,Rumex acetosa,Rumex acetosella,Rumex obtusifolius,Ranunculus acris t.,Rhinanthus t.,Rosaceae undiff.,Saxifraga granulata,Sedum t.,Succisa pratensis,Scabiosa,Scrophularia t.,Teucrium,Trifolium t.,Ulex t.,Urtica dioica,Valeriana dioica,Valerianella,Potamogeton,Dryopteris,Ophioglossum,Osmunda,Polypodium,Pteridium,Pretopsida (monolete) undiff.,Sphagnum
12,368,6,2,0,3,0,1,2,48,0,0,0,15,2,0,0,1,0,0,150,0,135,4,4,4,68,0,2,0,0,2,0,0,1,0,0,0,0,0,0,1,0,2,0,0,12,0,0,0,0,0,0,0,0,18,0,0,10,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,32,6,5
16,490,3,0,0,1,0,1,1,23,0,0,0,19,1,0,0,1,0,3,151,0,146,3,6,5,84,0,20,0,3,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,14,0,0,0,1,0,0,0,0,5,0,2,3,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,20,1,71
20,613,10,2,0,1,1,0,0,29,0,0,2,24,0,0,0,0,0,2,38,0,223,5,2,6,96,0,9,1,2,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,7,0,0,0,0,0,0,0,0,10,1,1,10,0,10,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,33,3,22
24,736,12,4,1,0,2,0,0,21,0,0,0,23,1,0,0,0,0,0,31,0,194,0,5,1,70,0,3,2,1,0,0,0,1,2,0,0,0,0,0,2,0,6,0,0,11,0,0,0,0,2,0,0,0,19,1,0,19,0,68,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,5,306
28,858,7,0,0,5,1,0,1,33,0,0,0,41,0,0,0,1,0,0,108,0,163,1,8,4,77,0,8,0,0,0,1,0,0,2,0,0,0,0,0,1,0,2,1,0,7,0,2,0,0,0,0,0,0,9,0,0,11,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,22,2,4
32,972,15,4,2,2,1,0,0,39,0,0,1,49,1,0,0,1,0,0,71,1,167,0,1,1,66,2,0,0,3,0,2,0,1,1,1,1,0,0,1,3,0,1,1,0,3,0,0,0,0,0,0,0,0,7,0,0,23,0,4,0,0,1,0,0,0,0,21,0,0,1,0,1,0,0,0,0,0,0,0,6,7,3,9
36,1072,0,2,2,4,3,0,3,38,0,0,0,21,0,1,0,0,0,0,89,0,190,1,1,0,29,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,7,0,0,1,0,5,0,0,0,0,48,0,1,0,1,0,0,0,1,0,0,0,0,5,10,3,2
40,1171,2,5,0,7,2,0,2,40,0,0,0,33,1,0,0,0,0,0,66,0,242,1,0,0,35,0,0,1,0,0,10,0,0,4,0,0,0,0,0,2,0,1,0,1,6,0,0,0,0,0,1,0,0,5,0,1,10,0,3,0,0,3,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,2,7,6,4
44,1271,2,0,1,5,3,0,2,59,0,0,1,43,0,0,0,0,0,1,112,0,140,0,0,0,13,0,0,1,1,1,36,0,0,4,0,0,0,0,0,0,0,0,1,1,15,0,0,0,0,0,0,0,0,3,0,0,15,0,1,0,0,3,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,3,15,15,3
48,1370,7,5,0,6,5,0,1,38,1,1,2,43,1,0,0,1,0,0,39,0,283,0,0,0,16,0,0,0,2,0,10,0,0,2,1,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,1,0,0,6,0,1,11,0,1,0,0,1,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,1,1,7,4
