depth,age.cal.BP,Acer,Alnus,Betula,Carpinus,Corylus,Fagus,Fraxinus,Pinus,Quercus,Salix,Tilia,Ulmus,Juglans,Juniperus,Hedera helix,Ilex aquifolium,Ulex,Ericaceae,Calluna vulgaris,Poaceae,Asteraceae,Artemisia type,Brassica,Campanula type,Centaurea cyanus,Centaurea nigra,Centaurea scabiosa,Chenopodiaceae,Cyperaceae,Drosera rotundifolia,Filipendula,Galium,Hordeum,Hypericum,Lactuceae,Lonicera,Malva type,Menyanthes,Myrica gale,Plantago lanceolata,Polygala,Potentilla type,Ranunculus acris type,Rhinanthus,Rosaceae,Rumex acetosa,Sambucus,Scrophularia,Secale cereale,Stachys,Succisa pratensis,Trifolium,Urtica dioica,Elodea,Typha,Polypodium,Pteridium,Pteropsida,Sphagnum
0.5,-29,0,1,14,0,11,3,0,15,16,0,0,0,0,0,2,0,0,2,51,159,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,14,4,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0
8.5,283,0,11,5,0,18,0,0,2,15,0,0,1,1,0,1,0,0,0,125,77,0,1,0,0,0,0,0,1,11,0,0,0,2,0,0,0,0,0,0,27,2,2,1,0,0,0,0,0,2,0,0,0,0,6,0,0,5,0,1
16.5,550,0,14,19,0,23,0,0,0,9,0,0,0,0,0,0,0,0,2,26,178,3,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,9,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
24.5,777,0,12,1,0,49,2,0,2,14,0,0,0,0,0,0,0,0,0,34,154,3,3,0,0,0,0,0,1,8,0,0,1,5,0,0,0,0,0,0,7,0,4,0,0,1,2,0,0,0,0,0,0,0,1,0,0,2,1,0
32.5,969,0,16,14,0,43,4,0,0,20,0,0,0,0,0,0,0,0,6,44,131,2,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1
40.5,1130,0,11,1,0,31,0,0,2,22,0,0,0,0,0,0,0,0,0,25,192,0,0,0,0,0,0,0,0,7,0,1,1,0,0,1,0,0,0,0,5,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48.5,1266,0,25,5,0,55,0,2,0,12,0,0,0,0,0,0,0,0,0,25,164,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
56.5,1381,0,14,4,0,45,1,2,1,13,1,0,1,0,0,0,0,0,0,65,132,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
64.5,1481,0,11,4,0,30,0,1,1,7,0,0,0,0,0,0,0,0,0,55,115,1,0,0,0,0,1,0,1,8,0,3,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0
72.5,1573,0,6,2,0,46,1,1,1,15,0,0,1,0,0,1,0,0,0,71,138,0,2,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5
