depth,age.cal.BP,Alnus,Abies,Acer,Betula,Carpinus,Fagus,Fraxinus,Juglans,Pinus,Prunus,Quercus,Sorbus,Tilia,Ulmus,Corylus,Craetagus,Salix,Hedera,Ilex,Lonicera,Ericaceae,Calluna,Poaceae,Hordeum,Avena/Triticum,Secale cereale,Cyperaceae,Apiaceae,Anthemis,Artemisia,Asteraceae,Brassicaceae,Cardueae,Caryophyllaceae,Centaurea nigra,Chenopodiaceae,Epilobium,Euphorbia,Filipendula,Galium,Geranium,Humulus,Hydrocotyle,Hypericum,Jasione,Lamium,Lactuceae,Lotus,Menyanthes,Montia,Myosotis,Papaver,Persicaria,Plantago lanceolata,Plantago m/m,Polygala,Potentilla,Prunella,Rumex acetosa,Rumex acetosella,Rumex sanguinea,Ranunculus,Rhinanthus,Rosa undiff.,Sanguisorba,Scrophularia\i,Succisa,Thalictrum,Trifolium,Ulex,Urtica,Valeriana dioica,Valerianella,Veronica,Vicia,Liliaceae,Potamogeton,Dryopteris,Hymenophyllum,Osmunda,Polypodium,Pteridium,Pteropsida,Sphagnum,,,,,,,,
0.0 ,0.0 ,18.0 ,0.0 ,1.0 ,9.0 ,0.0 ,15.0 ,10.0 ,0.0 ,22.0 ,0.0 ,47.0 ,0.0 ,1.0 ,0.0 ,20.0 ,0.0 ,4.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,298.0 ,3.0 ,4.0 ,0.0 ,32.0 ,0.0 ,0.0 ,0.0 ,0.0 ,3.0 ,1.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,4.0 ,4.0 ,,,,,,,,
4.0 ,25.0 ,13.0 ,3.0 ,0.0 ,4.0 ,0.0 ,9.0 ,30.0 ,0.0 ,32.0 ,0.0 ,14.0 ,0.0 ,0.0 ,0.0 ,6.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,1.0 ,2.0 ,314.0 ,4.0 ,0.0 ,1.0 ,48.0 ,0.0 ,0.0 ,0.0 ,0.0 ,3.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,1.0 ,2.0 ,0.0 ,1.0 ,0.0 ,1.0 ,1.0 ,1.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,4.0 ,3.0 ,,,,,,,,
8.0 ,51.0 ,7.0 ,0.0 ,2.0 ,9.0 ,0.0 ,9.0 ,4.0 ,0.0 ,22.0 ,0.0 ,29.0 ,0.0 ,0.0 ,0.0 ,6.0 ,0.0 ,1.0 ,1.0 ,0.0 ,0.0 ,1.0 ,2.0 ,346.0 ,2.0 ,0.0 ,0.0 ,34.0 ,1.0 ,0.0 ,1.0 ,2.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,3.0 ,0.0 ,0.0 ,6.0 ,0.0 ,2.0 ,0.0 ,1.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,3.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,3.0 ,2.0 ,,,,,,,,
12.0 ,76.0 ,4.0 ,0.0 ,0.0 ,3.0 ,1.0 ,13.0 ,11.0 ,0.0 ,15.0 ,0.0 ,15.0 ,0.0 ,0.0 ,1.0 ,7.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,4.0 ,390.0 ,1.0 ,0.0 ,0.0 ,16.0 ,0.0 ,0.0 ,0.0 ,2.0 ,0.0 ,2.0 ,2.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,6.0 ,0.0 ,2.0 ,1.0 ,3.0 ,1.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,3.0 ,,,,,,,,
16.0 ,102.0 ,3.0 ,0.0 ,0.0 ,5.0 ,0.0 ,15.0 ,2.0 ,0.0 ,12.0 ,0.0 ,22.0 ,0.0 ,0.0 ,2.0 ,7.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,7.0 ,354.0 ,2.0 ,0.0 ,0.0 ,35.0 ,0.0 ,0.0 ,0.0 ,1.0 ,2.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,7.0 ,0.0 ,0.0 ,13.0 ,0.0 ,2.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,3.0 ,18.0 ,,,,,,,,
20.0 ,128.0 ,7.0 ,0.0 ,0.0 ,4.0 ,0.0 ,9.0 ,1.0 ,1.0 ,13.0 ,0.0 ,15.0 ,0.0 ,0.0 ,1.0 ,6.0 ,1.0 ,2.0 ,1.0 ,0.0 ,0.0 ,8.0 ,45.0 ,275.0 ,1.0 ,3.0 ,1.0 ,65.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,4.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,3.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,18.0 ,0.0 ,0.0 ,12.0 ,0.0 ,5.0 ,0.0 ,1.0 ,4.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,3.0 ,1.0 ,110.0 ,,,,,,,,
24.0 ,154.0 ,11.0 ,0.0 ,0.0 ,1.0 ,1.0 ,3.0 ,0.0 ,1.0 ,9.0 ,0.0 ,22.0 ,0.0 ,0.0 ,0.0 ,7.0 ,0.0 ,1.0 ,1.0 ,1.0 ,0.0 ,10.0 ,86.0 ,141.0 ,10.0 ,4.0 ,7.0 ,140.0 ,0.0 ,3.0 ,0.0 ,1.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,5.0 ,1.0 ,0.0 ,0.0 ,1.0 ,2.0 ,0.0 ,8.0 ,0.0 ,1.0 ,4.0 ,0.0 ,5.0 ,0.0 ,0.0 ,5.0 ,2.0 ,0.0 ,0.0 ,1.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,12.0 ,10.0 ,5.0 ,18.0 ,,,,,,,,
28.0 ,179.0 ,2.0 ,0.0 ,0.0 ,2.0 ,0.0 ,8.0 ,2.0 ,0.0 ,11.0 ,0.0 ,15.0 ,0.0 ,0.0 ,2.0 ,1.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,364.0 ,1.0 ,0.0 ,0.0 ,51.0 ,1.0 ,0.0 ,0.0 ,3.0 ,0.0 ,1.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,9.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,1.0 ,1.0 ,7.0 ,1.0 ,0.0 ,0.0 ,0.0 ,3.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,4.0 ,13.0 ,,,,,,,,
32.0 ,301.0 ,8.0 ,0.0 ,0.0 ,2.0 ,0.0 ,3.0 ,1.0 ,0.0 ,0.0 ,0.0 ,13.0 ,0.0 ,0.0 ,0.0 ,12.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,29.0 ,145.0 ,13.0 ,6.0 ,9.0 ,192.0 ,0.0 ,12.0 ,2.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,3.0 ,0.0 ,0.0 ,0.0 ,8.0 ,0.0 ,0.0 ,0.0 ,0.0 ,6.0 ,0.0 ,8.0 ,0.0 ,0.0 ,5.0 ,0.0 ,5.0 ,0.0 ,1.0 ,9.0 ,0.0 ,0.0 ,0.0 ,1.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,17.0 ,9.0 ,3.0 ,20.0 ,,,,,,,,
36.0 ,422.0 ,3.0 ,0.0 ,0.0 ,0.0 ,1.0 ,9.0 ,0.0 ,0.0 ,5.0 ,0.0 ,22.0 ,0.0 ,0.0 ,0.0 ,5.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,40.0 ,144.0 ,3.0 ,4.0 ,8.0 ,125.0 ,1.0 ,18.0 ,0.0 ,2.0 ,4.0 ,3.0 ,8.0 ,0.0 ,4.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,60.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,4.0 ,0.0 ,0.0 ,4.0 ,0.0 ,1.0 ,0.0 ,0.0 ,8.0 ,0.0 ,0.0 ,1.0 ,0.0 ,3.0 ,0.0 ,3.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,19.0 ,14.0 ,1.0 ,6.0 ,,,,,,,,
