depth,age.cal.BP,Alnus,Betula,Carpinus,Corylus,Crateagus,Fagus,Fraxinus,Ilex aquilifolium,Pinus,Populus,Quercus,Salix,Tilia,Ulmus,Calluna vulgaris ,Empetrum,Ericaceae ,Alchemilla,Anagallis tenella,Anthoceros,Apiaceae,Apium,Artemisia,Asteraceae,Avena triticum,Brassicaceae,Caltha palustris,Calystegia type,Campanula,Cardueae,Caryophyllaceae,Centurea cyanus,Centurea nigra,Cheledonium,Chenopodiaceae,Cyperaceae,Drosera rotundifolia,Elodea,Filipendula,Galium,Gentianella campestris,Hedera helix,Hypericum,Irideae,Lactuceae,Liliaceae,Lonicera,Lotus type,Lysimachia vulgaris,Melampyrum,Mercurialis,Mimosaceae,Myrica gale,Oxyria,Plantago Lanceolata,Plantago m/m,Poaceae,Polygala,Potentilla,Primula type,Ranunculus acris type,Rhinanthus,Rosaceae,Rumex acetocella,Rumex acetosa,Sanguisorba minor,Scrophularia,Secale,Selaginella,Serratula,Stachys,Succisa,Trifolium,Urtica dioica,Valeriana,Veronica,Vicia cracca,Alisma,Equisetum,Myrioph.,Potomogeton,Typha,Cryptogramma,Dryopteris,Osmunda,Polypodium,Pteridium,Pteropsida,Sphagnum
2,-52,2,7,0,3,0,3,5,0,7,5,14,2,0,3,7,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,1,0,0,0,0,30,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,202,0,4,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,2
4,-20,2,2,2,1,0,1,1,0,4,0,10,1,0,2,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,235,0,10,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6,31,1,2,0,1,0,0,0,0,4,0,8,0,0,1,31,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,53,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,13,0,179,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
8,90,1,1,0,2,0,0,1,0,3,0,5,0,0,1,74,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,174,0,21,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4
10,148,0,0,0,2,0,0,1,0,2,0,3,1,0,0,182,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,21,0,13,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,60,0,6,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
18,353,1,0,0,0,0,0,0,0,0,0,3,0,0,1,259,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,15,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
26,530,3,3,0,3,0,2,4,0,0,0,18,0,0,0,126,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,39,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,57,0,13,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,5,74
34,696,0,6,0,4,3,3,3,0,1,0,21,1,0,0,10,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,52,0,0,7,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,8,3,130,0,5,0,15,0,9,0,2,0,0,0,2,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13,7,100
42,866,3,13,0,5,0,1,3,0,2,0,25,1,0,0,4,0,1,0,2,0,0,0,0,1,0,2,0,0,0,0,3,0,2,0,0,46,0,0,5,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,2,155,1,0,0,4,0,9,0,0,0,0,0,3,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8,7,103
50,1046,7,9,0,13,0,0,1,3,0,0,24,0,0,0,6,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,23,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,178,1,4,0,3,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,2,0,7,12
