depth,age.cal.BP,Alnus,Abies,Betula,Carpinus,Fagus,Fraxinus,Juglans,Pinus,Prunus type,Quercus,Sorbus t.,Tilia,Ulmus,Corylus avellana t.,Juniperus,Salix,Ilex aquifolium,Lonicera periclymenum,Ericaceae,Calluna ,Poaceae <37 um,Hordeum t.,Avena/Triticum t.,Secale cereale,Cyperaceae,Anagallis tenella,Anthemis,Apiaceae,Artemisia,Asteraceae,Centaurea nigra, Cardueae,Lactuceae,Campanula t.,Caryophyllaceae,Chenopodiaceae,Brassicaceae,Drosera,Filipendula,Galium,Helianthemum,Humulus t.,Hypericum perforatum,Lamium t.,Lotus t.,Lysimachia vulgaris,Montia fontana,Myosotis,Plantago lanceolata,Plantago major/media,Polemonium caeruleum,Potentilla t.,Rumex acetosa t.,Rumex acetosella,Rumex obtusifolius,Ranunculus acris t.,Caltha palustris,Thalictrum,Rhinanthus,Rosaceae undiff.,Scutellaria,Scrophularia t.,Sedum t.,Succisa pratensis,Stachys t.,Trifolium t.,Ulex,Urtica dioica,Valeriana dioica,Valerianella,Equisetum,Potamogeton,Hymenophyllum,Polypodium,Pteridium,Pteropsida (monolete) undiff.,Sphagnum
0,0,0,3,11,1,3,4,1,71,0,94,0,0,0,7,0,0,0,0,1,12,208,0,0,0,60,0,0,0,0,0,2,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,2,0,0,1,3,1,0,3,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1
4,92,2,0,7,0,7,2,0,14,0,12,0,0,0,19,0,3,0,0,0,47,241,0,1,0,49,0,0,3,1,0,1,1,0,0,0,1,0,0,18,1,0,0,1,0,0,1,0,0,2,0,0,6,4,0,3,4,1,0,0,0,0,3,1,0,0,53,0,0,0,0,0,2,0,0,2,0,3
8,184,3,0,2,0,3,1,0,12,0,7,0,0,1,14,0,0,0,0,0,96,305,0,0,0,24,0,0,0,0,0,0,1,0,1,0,1,1,0,3,2,0,0,0,0,1,0,0,0,9,0,0,5,1,0,0,2,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,8,0,0,3,4,8
12,277,3,0,2,0,0,1,0,3,0,16,0,0,0,15,0,2,0,0,0,48,314,1,2,0,37,4,0,0,0,0,0,2,1,0,0,0,0,0,3,24,0,0,0,0,0,1,0,0,21,0,0,6,6,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,16
16,369,3,0,3,0,2,4,3,2,0,12,0,0,0,20,0,2,0,0,1,90,241,8,3,3,47,0,0,1,2,1,0,0,1,0,0,1,1,0,0,5,1,3,0,0,0,1,0,0,15,0,0,6,9,2,2,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32,2,286
20,461,2,0,4,0,1,0,1,4,0,19,0,0,0,20,0,2,0,0,0,161,185,3,2,2,43,0,0,0,1,2,0,0,7,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,12,0,0,6,1,0,1,7,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,2,0,1,16,2,118
24,553,1,0,4,0,2,0,0,0,0,13,0,0,0,20,0,4,1,0,0,53,130,0,2,3,238,0,0,0,0,1,0,0,3,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,4,2,0,7,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,7,3,28
28,700,7,0,3,2,3,0,0,0,0,25,0,0,2,43,0,4,0,0,0,51,214,1,1,0,73,0,0,0,1,2,7,0,6,0,1,0,0,0,5,3,1,0,0,0,0,0,0,0,8,0,0,8,5,1,0,5,3,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,2,3,11,16
32,936,7,0,0,0,1,0,0,1,0,23,1,0,0,41,0,2,0,0,0,41,270,1,0,0,50,0,1,2,0,3,1,3,5,0,0,2,3,1,2,2,0,0,0,0,0,1,0,0,3,0,0,9,6,0,0,9,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,1,15,11,5
36,1172,11,0,0,0,1,0,0,1,0,26,0,0,0,26,0,1,1,0,0,59,214,2,2,0,86,0,1,0,0,4,3,4,9,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,3,0,0,7,5,3,0,4,14,0,0,0,0,2,1,6,0,0,0,0,0,0,0,0,0,3,9,7,11
