depth,age.cal.BP,Alnus,Betula,Carpinus betulus,Corylus,Fagus,Fraxinus,Ilex aquifolium,Pinus,Quercus,Salix,Sorbus t.,Tilia,Ulmus,Hedera helix,Lonicera,Ericaceae,Calluna vulgaris,Poaceae <37um,cf. Glyceria,Cyperaceae,Anthemis,Apiaceae,Artemisia,Asteraceae,Brassicaceae,Caltha palustris,Campanula,Cannabis/Humulus t.,Caryophyllaceae,Centaurea nigra,Centaurea scabiosa,Chenopodiacaea,Chrysosplenium oppositifolium,Circaea t.,Cirsium t.,Epilobium,Erodium,Filipendula,Galium,Hypericum,Lactuceae,Lamiaceae undiff.,Lotus t.,Lysimachia vulgaris,Montia fontana,Plantago coronopus,Plantago lanceolata,Plantago major/media,Plantago maritima,Polemonium caeruleum,Potentilla,Ranunculus acris t.,Rhinanthus,Rosaceae undiff.,Rumex acetosa/acetosella,Rumex obtusofolius,Scrophularia,Sedum t.,Succisa pratensis,Thalictrum,Trifolium,Urtica dioica,Valeriana dioica,Menyanthes trifoliata,Myriophyllum spicatum,Potamogeton,Typha angustifolia,Filicales,Polypodium,Pteridium,Sphagnum,exotics,TLP,TLP+aquatics,TLP+spores
16,244,5,1,0,17,0,0,0,3,6,3,0,0,0,0,0,33,5,265,36,20,0,1,0,4,3,3,0,0,1,0,0,0,0,0,1,0,0,9,8,0,4,0,0,0,4,0,23,0,0,0,11,3,0,4,30,0,0,0,0,0,0,0,0,0,0,10,3,19,4,6,2,96,503,516,534
24,269,15,4,3,39,0,1,0,2,9,2,0,0,0,0,0,1,134,210,16,5,0,1,0,1,2,0,1,0,2,1,0,0,1,0,3,0,0,1,6,0,1,0,0,0,0,0,21,0,0,0,5,0,1,0,4,0,0,0,8,0,0,0,0,0,0,0,0,12,32,5,3,74,500,500,552
32,295,1,2,3,23,0,3,0,4,7,4,0,0,0,0,0,52,7,221,30,24,0,1,0,5,0,0,0,0,3,0,0,0,1,0,1,0,0,6,10,0,4,0,0,0,3,0,22,0,0,0,13,8,0,5,38,0,0,0,0,0,1,0,0,0,0,7,1,23,20,16,3,85,502,510,564
40,320,9,1,3,30,1,0,0,4,10,1,0,0,1,0,0,1,65,283,15,2,1,1,0,6,0,0,0,0,2,0,0,0,0,0,3,0,0,6,10,1,4,0,0,0,0,0,23,0,0,0,10,2,0,0,4,0,0,0,5,0,0,0,0,0,0,2,0,57,25,1,5,153,504,506,592
56,371,2,0,3,28,0,2,0,5,14,0,0,0,1,0,0,2,61,299,15,7,5,1,0,12,1,1,0,0,1,2,0,0,0,0,2,0,0,2,3,0,2,0,0,0,1,0,16,0,0,0,13,9,0,4,4,0,0,0,3,0,0,0,0,0,0,1,0,39,39,0,2,248,521,522,601
64,396,6,8,0,20,0,0,0,1,7,6,0,0,0,0,0,17,27,329,4,11,0,3,0,5,10,0,0,0,0,1,0,0,0,0,1,0,0,10,14,0,3,0,0,0,2,0,4,0,0,0,3,3,0,2,4,0,0,0,0,0,1,0,0,0,0,5,1,26,9,7,2,100,502,508,546
72,420,11,5,1,15,0,0,0,3,7,0,0,0,0,0,0,1,39,313,12,16,2,2,0,7,1,0,0,0,3,2,0,0,0,0,5,0,0,1,3,1,2,0,0,0,0,0,16,0,0,0,10,11,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,29,21,4,1,115,500,500,555
80,443,10,0,0,21,0,3,0,1,10,11,0,0,0,0,0,14,42,299,5,11,0,3,0,3,0,0,0,0,2,0,0,1,6,0,0,0,0,10,4,0,3,0,0,0,4,0,22,0,0,0,14,4,0,0,8,0,0,0,0,0,1,0,0,0,0,10,5,25,7,8,4,167,512,527,556
88,466,6,3,0,26,0,0,0,4,11,0,0,0,1,0,0,5,55,265,28,7,0,0,0,3,2,1,0,0,3,1,0,0,0,0,7,0,0,1,3,3,6,0,0,2,0,0,12,0,0,0,13,7,0,0,20,0,0,0,2,0,1,0,1,1,0,0,0,32,35,1,2,133,499,500,569
96,488,4,5,1,29,2,0,0,1,15,13,0,0,0,0,0,3,28,304,27,12,0,8,0,7,1,0,0,1,0,2,0,0,0,0,0,1,0,12,4,0,12,0,0,0,7,0,20,0,0,0,3,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,17,8,3,10,98,527,527,565
