depth,age.cal.BP,Alnus glutinosa  ,Acer t.,Betula  ,Carpinus betulus ,Fagus sylvatica ,Fraxinus excelsior ,Pinus  ,Quercus  ,Sorbus t. ,Tilia  ,Ulmus  ,Corylus avellana t.,Crataegus t.,Salix  ,Cornus suecica,Hedera helix ,Ilex aquifolium ,Lonicera periclymenum ,Ericaceae  ,Calluna vulgaris ,Poaceae <37um ,Hordeum t. ,Avena/Triticum t. ,Secale cereale ,Cyperaceae  ,Anagallis tenella,Anthemis  ,Apiaceae  ,Armeria maritima t.A,Artemisia  ,Asteraceae  ,Brassicaceae  ,Campanula t.,Cardueae  ,Caryophyllaceae undiff. ,Centaurea nigra ,Chenopodiaceae,Corydalis lutea ,Epilobium  ,Equisetum  ,Euphorbia t. ,Fagopyrum  ,Filipendula  ,Galium  ,Gentianella campestris t.,Geranium  ,Helianthemum,Humulus lupulus,Hypericum elodes,Hypericum perforatum t.,Lactuceae  ,Lamiaceae undiff. ,Leguminoseae undiff. ,Lotus  ,Lysimachia vulgaris,Medicago sativa,Mentha t.,Menyanthes trifoliata ,Montia fontana ,Myosotis  ,Narthecium  ,Plantago lanceolata ,Plantago major/minor ,Polygala  ,Polygonum aviculare ,Potentilla  ,Ranunculus t. ,Rosa undiff. ,Rhinanthus  ,Rumex acetosa ,Rumex obtusifolius ,Scrophularia t. ,Scutellaria,Stachys t. ,Succisa pratensis ,Trifolium,Urtica dioica ,Valerianella,Verbascum t.,Vicia sylvatica ,Viola palustris ,Potamogeton  ,Huperzia selago,Hymenophyllum  ,Osmunda  ,Polypodium  ,Pteridium  ,Pteropsida (monolete) undiff.,Sphagnum  ,,
0.0 ,0,2.0 ,0.0 ,1.0 ,0.0 ,8.0 ,2.0 ,13.0 ,11.0 ,0.0 ,1.0 ,4.0 ,9.0 ,0.0 ,1.0 ,0.0 ,2.0 ,0.0 ,0.0 ,1.0 ,12.0 ,330.0 ,0.0 ,4.0 ,0.0 ,38.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,3.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,3.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,17.0 ,0.0 ,0.0 ,0.0 ,15.0 ,5.0 ,2.0 ,0.0 ,3.0 ,2.0 ,0.0 ,0.0 ,1.0 ,4.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,3.0 ,3.0 ,4.0 ,10.0 ,,
2.0 ,107,0.0 ,0.0 ,1.0 ,0.0 ,5.0 ,1.0 ,9.0 ,24.0 ,0.0 ,0.0 ,3.0 ,15.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,26.0 ,289.0 ,1.0 ,4.0 ,0.0 ,51.0 ,0.0 ,0.0 ,1.0 ,0.0 ,1.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,5.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,1.0 ,16.0 ,0.0 ,0.0 ,0.0 ,16.0 ,5.0 ,0.0 ,0.0 ,2.0 ,2.0 ,0.0 ,0.0 ,0.0 ,13.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,4.0 ,8.0 ,5.0 ,16.0 ,,
4.0 ,214,4.0 ,0.0 ,1.0 ,1.0 ,4.0 ,0.0 ,10.0 ,20.0 ,0.0 ,0.0 ,4.0 ,21.0 ,0.0 ,0.0 ,0.0 ,2.0 ,1.0 ,0.0 ,0.0 ,34.0 ,258.0 ,0.0 ,2.0 ,0.0 ,75.0 ,0.0 ,2.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,8.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,18.0 ,1.0 ,1.0 ,0.0 ,11.0 ,5.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,9.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,3.0 ,10.0 ,10.0 ,27.0 ,,
6.0 ,321,3.0 ,1.0 ,1.0 ,1.0 ,5.0 ,0.0 ,10.0 ,29.0 ,0.0 ,0.0 ,1.0 ,20.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,50.0 ,189.0 ,4.0 ,3.0 ,3.0 ,95.0 ,0.0 ,4.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,2.0 ,1.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,4.0 ,0.0 ,0.0 ,1.0 ,0.0 ,1.0 ,0.0 ,13.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,15.0 ,1.0 ,1.0 ,0.0 ,12.0 ,2.0 ,0.0 ,1.0 ,2.0 ,1.0 ,0.0 ,0.0 ,0.0 ,20.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,9.0 ,10.0 ,11.0 ,30.0 ,,
8.0 ,429,3.0 ,0.0 ,2.0 ,0.0 ,8.0 ,1.0 ,7.0 ,24.0 ,0.0 ,0.0 ,1.0 ,14.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,1.0 ,89.0 ,144.0 ,1.0 ,10.0 ,3.0 ,120.0 ,0.0 ,3.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,13.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,16.0 ,0.0 ,2.0 ,0.0 ,6.0 ,7.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,20.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,9.0 ,18.0 ,10.0 ,120.0 ,,
10.0 ,536,2.0 ,0.0 ,1.0 ,1.0 ,8.0 ,2.0 ,0.0 ,51.0 ,0.0 ,0.0 ,0.0 ,28.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,91.0 ,124.0 ,10.0 ,3.0 ,5.0 ,110.0 ,0.0 ,2.0 ,0.0 ,1.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,3.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,7.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,5.0 ,11.0 ,0.0 ,0.0 ,0.0 ,8.0 ,2.0 ,1.0 ,0.0 ,2.0 ,1.0 ,0.0 ,0.0 ,0.0 ,14.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,1.0 ,28.0 ,5.0 ,11.0 ,,
12.0 ,643,1.0 ,0.0 ,6.0 ,2.0 ,7.0 ,0.0 ,2.0 ,38.0 ,0.0 ,0.0 ,1.0 ,35.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,17.0 ,270.0 ,0.0 ,1.0 ,2.0 ,31.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,14.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,10.0 ,0.0 ,0.0 ,0.0 ,28.0 ,3.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,21.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,5.0 ,5.0 ,4.0 ,7.0 ,,
14.0 ,750,1.0 ,0.0 ,2.0 ,1.0 ,6.0 ,1.0 ,2.0 ,33.0 ,0.0 ,0.0 ,0.0 ,37.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,23.0 ,287.0 ,3.0 ,0.0 ,0.0 ,32.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,1.0 ,3.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,9.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,5.0 ,0.0 ,0.0 ,0.0 ,19.0 ,0.0 ,0.0 ,0.0 ,5.0 ,0.0 ,1.0 ,0.0 ,0.0 ,27.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,4.0 ,10.0 ,7.0 ,16.0 ,,
16.0 ,857,4.0 ,0.0 ,3.0 ,0.0 ,6.0 ,0.0 ,2.0 ,20.0 ,0.0 ,0.0 ,3.0 ,33.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,20.0 ,316.0 ,0.0 ,1.0 ,0.0 ,30.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,7.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,9.0 ,0.0 ,0.0 ,1.0 ,8.0 ,1.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,36.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,6.0 ,6.0 ,15.0 ,,
18.0 ,964,5.0 ,0.0 ,0.0 ,0.0 ,2.0 ,1.0 ,2.0 ,23.0 ,0.0 ,1.0 ,1.0 ,38.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,31.0 ,256.0 ,2.0 ,1.0 ,0.0 ,56.0 ,0.0 ,1.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,7.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,14.0 ,0.0 ,0.0 ,0.0 ,13.0 ,2.0 ,0.0 ,1.0 ,6.0 ,0.0 ,2.0 ,0.0 ,0.0 ,31.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,8.0 ,4.0 ,2.0 ,12.0 ,,
