depth,age.cal.bp,Acer,Alnus,Betula,Carpinus,Corylus,Fagus,Fraxinus,Pinus,Quercus,Salix,Tilia,Ulmus,Juglans,Juniperus,cf Larix type,Hedera helix,Ilex aquifolium,Ulex,Ericaceae,Calluna vulgaris,Poaceae,Asteraceae,Artemisia type,Avena/Triticum,Brassica,Campanula type,Centaurea cyanus,Centaurea nigra,Centaurea scabiosa,Chenopodiaceae,Cirsium,Cyperaceae,Drosera intermedia,Drosera rotundifolia,Filipendula,Galium,Hordeum,Hypericum,Lactuceae,Lysimachia,Malva type,Menyanthes,Myrica gale,Plantago lanceolata,Polygala,Potentilla type,Ranunculus acris type,Rhinanthus,Rosaceae,Rumex acetosa,Rumex acetosella,Sambucus,Secale cereale,Sorbus,Succisa pratensis,Trifolium,Trofolium repens,Urtica dioica,Elodea,Typha,Polypodium,Pteridium,Pteropsida,Sphagnum
16.5,172,0,4,12,0,22,2,0,10,13,0,0,0,0,1,1,0,0,0,6,45,149,0,0,0,0,0,0,0,0,1,0,13,0,0,2,0,0,0,0,0,0,0,0,10,0,2,9,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,2,0
24.5,267,0,8,3,0,12,0,2,24,20,0,0,2,0,0,0,0,0,0,8,73,97,0,1,0,1,0,0,0,0,0,0,26,0,0,0,0,1,0,1,0,0,0,0,20,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32.5,352,0,7,3,0,17,0,1,4,17,0,0,0,0,0,0,0,0,0,0,134,79,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,23,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,5
40.5,430,0,10,5,0,36,5,3,4,72,0,0,2,0,0,0,1,0,0,1,34,66,1,1,3,0,0,0,0,0,2,0,15,0,0,0,0,3,0,0,0,0,0,0,32,0,2,2,0,0,3,1,0,0,0,0,0,0,0,0,0,1,18,0,7
48.5,502,0,12,13,0,19,3,4,1,45,2,0,2,0,0,0,2,0,0,0,40,99,5,0,2,1,0,0,0,0,0,0,21,0,0,0,0,5,0,1,0,0,0,0,17,0,0,1,0,0,1,1,0,0,0,0,1,0,1,3,0,1,1,0,2
56.5,569,0,9,3,1,30,7,2,2,24,0,0,0,0,0,0,0,0,0,1,27,125,7,2,3,5,0,0,0,0,0,0,22,0,1,3,0,6,0,3,0,0,0,0,10,0,2,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,14,0,7
64.5,633,0,7,9,0,31,4,1,1,26,0,0,0,0,0,0,0,0,0,2,10,96,1,1,2,1,0,0,0,0,1,0,26,0,0,0,1,12,0,2,0,0,0,0,11,0,0,0,0,0,6,0,0,2,0,0,0,0,1,0,0,0,2,0,9
72.5,699,0,13,12,0,52,4,7,3,26,0,0,1,0,0,0,1,1,0,1,61,77,3,1,1,0,0,1,0,0,2,0,19,0,0,2,0,2,0,0,0,0,0,0,12,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,8,1,5
80.5,767,0,10,3,0,27,0,0,0,13,0,0,0,0,2,0,1,1,0,0,20,44,5,0,0,0,0,0,1,0,0,0,13,0,0,4,0,4,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4
88.5,841,0,18,13,0,42,4,1,0,58,0,0,0,0,0,0,0,0,0,1,32,81,7,1,0,0,0,0,0,0,0,0,19,0,0,2,1,3,0,1,0,0,0,0,16,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,10,0,0
96.5,924,0,15,11,0,68,2,2,0,35,0,0,0,0,0,0,3,0,0,0,14,14,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,16
104.5,1019,0,12,7,1,76,6,2,2,49,0,0,3,0,0,0,1,0,0,1,38,75,1,3,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,9,0,3,2,0,0,3,2,0,0,0,0,0,0,0,0,0,1,7,0,6
112.5,1124,0,19,6,0,41,3,1,0,23,0,0,2,0,0,0,1,0,0,0,32,24,0,1,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3
120.5,1236,0,21,28,0,80,2,8,0,41,1,0,3,0,0,0,1,0,0,0,30,63,1,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,1,0,0,0,0,10,0,2,3,0,0,3,2,0,0,0,0,0,0,0,0,0,1,4,1,30
128.5,1352,0,9,5,0,62,3,2,0,24,0,0,0,0,2,1,0,0,0,1,13,23,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,1,0,0,0,0,0,0,6,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,0,13
136.5,1467,0,14,13,1,94,11,2,2,56,0,1,1,0,0,0,1,0,0,1,61,29,0,1,0,0,1,0,0,0,1,0,9,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6
144.5,1579,0,32,10,1,73,4,1,0,31,4,0,0,1,0,0,0,0,0,0,20,20,0,1,0,0,0,0,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,1,5,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,2,12
152.5,1683,0,27,12,0,90,0,1,2,31,1,0,5,0,0,0,0,0,0,2,46,63,0,2,0,0,0,0,0,0,1,0,10,0,0,1,0,0,0,1,0,0,0,0,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,8
160.5,1779,0,14,9,0,24,2,0,0,11,0,0,0,0,0,2,0,0,0,1,11,73,0,0,0,0,0,0,0,0,3,0,4,0,0,4,1,0,0,0,0,0,0,0,8,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0
168.5,1868,0,22,8,0,62,2,4,0,28,1,0,0,0,0,0,0,0,0,2,52,82,1,3,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,20,0,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,12,0,18
176.5,1952,0,11,7,0,60,0,4,1,22,0,0,0,0,0,5,0,0,0,0,13,50,0,0,0,0,0,0,0,0,0,0,11,0,2,2,2,1,0,0,0,0,0,0,14,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,43
184.5,2036,0,22,13,0,46,3,0,2,36,0,0,2,0,0,0,0,0,0,0,26,94,0,2,0,0,0,0,0,0,2,0,23,0,0,2,1,0,0,0,0,0,0,0,30,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,17
192.5,2120,0,6,5,0,49,0,2,1,29,0,0,0,0,0,3,4,0,0,0,21,51,0,0,0,0,0,0,0,0,1,0,9,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,2,1,7,0,32
200.5,2207,0,10,8,0,77,1,3,5,37,0,0,4,0,0,0,0,0,0,3,58,64,0,0,0,0,0,0,0,1,2,0,10,0,0,3,0,0,0,0,0,0,0,0,14,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,18,0,13
208.5,2300,0,9,4,0,49,0,2,0,31,0,0,0,0,0,1,0,0,0,0,28,57,1,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,1,0,0,0,0,16,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,23,2,22
216.5,2394,0,15,8,0,72,1,4,6,34,0,0,2,0,0,0,0,0,0,2,35,86,0,0,0,0,0,0,0,0,2,0,14,0,1,3,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,50
224.5,2488,0,16,7,0,91,1,0,0,27,0,1,2,0,0,2,0,0,0,3,6,27,0,0,0,0,0,0,0,0,1,0,9,0,0,1,0,0,0,1,1,0,0,0,8,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,4
232.5,2579,0,33,5,0,147,1,3,2,50,0,0,3,0,0,0,1,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,22
240.5,2662,0,31,9,0,107,1,7,0,51,0,0,0,0,0,0,0,0,1,1,28,21,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,8,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,7,0,0,1
248.5,2736,0,21,9,0,79,0,3,0,32,1,1,0,0,0,0,0,0,0,1,138,12,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3
256.5,2797,0,22,7,0,47,0,6,0,36,0,3,0,0,0,0,0,0,0,1,62,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
264.5,2848,0,50,3,0,113,0,4,1,44,0,0,1,0,0,0,0,0,0,0,39,21,0,1,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,5
272.5,2896,0,20,4,0,81,1,1,1,32,0,0,1,0,0,0,1,0,0,0,39,6,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
280.5,2944,0,51,7,0,89,3,0,0,53,0,0,2,0,0,0,0,0,0,0,16,18,0,2,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,0,1
288.5,3000,0,33,8,0,45,1,1,4,50,0,0,0,0,0,0,0,0,0,0,27,13,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1
