A.series,Abies alba,Alnus glutinosa,Amanranthaceae/Chenopodiaceae,Artemisia,Betula,Buxus sempervirens,Calluna vulgaris,Carpinus betulus,Carpinus orientalis,Castanea,Cerealia-t,Corylus avellana,Cyperaceae,Ericaceae,Fagus sylvatica,Filipendula,Fraxinus,Juniperus,Phillyrea,Picea,Pinus,Pistacia,Plantago lanceolata type,Poaceae,Quercus deciduous,Quercus evergreen,Rumex acetosa-t,Salix,Secale,Tilia,Ulmus
Abies alba,2.079133286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alnus glutinosa,0,0.085936336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amanranthaceae/Chenopodiaceae,0,0,0.0729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artemisia,0,0,0,0.02138877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Betula,0,0,0,0,0.092006056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buxus sempervirens,0,0,0,0,0,0.004624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calluna vulgaris,0,0,0,0,0,0,0.000850002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carpinus betulus,0,0,0,0,0,0,0,0.180851171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carpinus orientalis,0,0,0,0,0,0,0,0,0.0049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castanea,0,0,0,0,0,0,0,0,0,0.003481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cerealia-t,0,0,0,0,0,0,0,0,0,0,0.145122141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corylus avellana,0,0,0,0,0,0,0,0,0,0,0,0.009995081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyperaceae,0,0,0,0,0,0,0,0,0,0,0,0,0.002562496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ericaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fagus sylvatica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031088742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filipendula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08111104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fraxinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002273764,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juniperus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0
Phillyrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005625,0,0,0,0,0,0,0,0,0,0,0,0
Picea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009440571,0,0,0,0,0,0,0,0,0,0,0
Pinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056016002,0,0,0,0,0,0,0,0,0,0
Pistacia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040401,0,0,0,0,0,0,0,0,0
Plantago lanceolata type,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040578074,0,0,0,0,0,0,0,0
Poaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quercus deciduous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007427785,0,0,0,0,0,0
Quercus evergreen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068121,0,0,0,0,0
Rumex acetosa-t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077498208,0,0,0,0
Salix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005868004,0,0,0
Secale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102681794,0,0
Tilia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013488964,0
Ulmus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025
